Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,adsorption_energy
Ru,Pt,0.75,0.25,bridge,-0.0557279617596293
Mo,Os,0.5,0.5,bridge,-0.3484217699578664
Mo,Os,0.5,0.5,bridge,-0.4048332817573907
Mo,Ru,0.5,0.5,bridge,-0.4323426302607629
Mo,Ir,0.75,0.25,bridge,-0.3978123365586441
Mo,Ir,0.75,0.25,hollow,-0.752950012257287
Ir,Mo,0.5,0.5,bridge,-0.2583901854586372
Mo,Rh,0.75,0.25,hollow,-0.7862473580562153
Mo,Rh,0.5,0.5,hollow,-0.5794045135580461
Mo,Rh,0.5,0.5,bridge,-0.5232976332581245
Ir,Mo,0.5,0.5,bridge,-0.4288505934591455
Mo,Rh,0.75,0.25,hollow,-0.5906892104567021
Mo,Ni,0.75,0.25,hollow,-0.7711023181572898
Mo,Rh,0.75,0.25,top,0.1358461671416364
Mo,Ni,0.75,0.25,hollow,-0.6664582204602709
Mo,Ni,0.5,0.5,bridge,-0.5165787343566706
Mo,Fe,0.75,0.25,hollow,-0.7505790842578506
Mo,Fe,0.75,0.25,hollow,-0.7243360174570341
Mo,Mn,0.75,0.25,bridge,-0.7342947037604688
Mo,Mn,0.75,0.25,top,0.2450210964389327
Mo,Fe,0.75,0.25,top,0.1376331387409948
Mo,Mn,0.75,0.25,hollow,-0.8020004363597479
Mn,Mo,0.5,0.5,hollow,-0.6508342600563708
Mo,Pt,0.75,0.25,hollow,-0.8489746319564517
Mo,Pd,0.75,0.25,top,0.2942592791414711
Mo,Pt,0.75,0.25,bridge,-0.5651981302571301
Pt,Ru,0.5,0.5,bridge,-0.03185446225595
Pt,Ru,0.5,0.5,bridge,-0.1899738274578055
Mo,Pd,0.5,0.5,bridge,-0.5912716701595571
Mo,Pd,0.5,0.5,bridge,-0.0181856399603645
Mo,Au,0.75,0.25,top,0.3461486670394436
Mo,Ag,0.75,0.25,top,0.6667633960433079
Mo,Cu,0.75,0.25,hollow,-0.8873892146575315
Mo,Cu,0.75,0.25,hollow,-0.6838989486559228
Cu,Mo,0.5,0.5,bridge,-0.5809159698537485
Mo,Zn,0.75,0.25,hollow,-0.9450295925625768
Mo,Zn,0.5,0.5,bridge,-0.6208324848548443
Mo,Zn,0.5,0.5,hollow,0.0902952629412823
Mo,Cd,0.75,0.25,bridge,0.0601091306425871
Hg,Mo,0.5,0.5,top,0.3753417199414173
W,Y,0.75,0.25,bridge,-0.7973097380590559
W,Y,0.75,0.25,hollow,-0.4929399331585671
W,Sc,0.75,0.25,hollow,-0.8420546410588656
W,Ti,0.75,0.25,hollow,-1.053664647958584
W,La,0.75,0.25,bridge,-0.2982340460575585
W,Nb,0.75,0.25,bridge,-0.8237411076579235
W,V,0.75,0.25,hollow,-1.30115925916013
W,Cr,0.75,0.25,hollow,-1.0952490847584784
W,Re,0.75,0.25,bridge,-0.8038736680564114
W,Ta,0.75,0.25,bridge,-0.8267302780577381
W,Nb,0.75,0.25,hollow,-1.261291996760491
W,Cr,0.75,0.25,hollow,-1.2157972840568334
W,Tc,0.75,0.25,hollow,-0.8963040722582889
Tc,W,0.5,0.5,bridge,-0.2852885022575435
W,Ta,0.75,0.25,hollow,-1.2757767524553572
W,Tc,0.75,0.25,hollow,-0.898258257758215
Tc,W,0.5,0.5,bridge,-0.5006181693561018
W,Tc,0.75,0.25,top,0.0188848364423677
Tc,W,0.5,0.5,bridge,-0.3157901506556015
W,Os,0.75,0.25,top,-0.1426200329578648
Os,W,0.5,0.5,hollow,-0.5421447819562388
Os,W,0.5,0.5,hollow,-0.6412320430563057
W,Tc,0.75,0.25,top,0.1187229957404554
Ru,Pd,0.75,0.25,bridge,-0.0418783197555683
W,Os,0.75,0.25,bridge,-0.533189923658
Os,W,0.5,0.5,hollow,-0.5097279963583503
Os,W,0.5,0.5,hollow,-0.6261177519581622
W,Os,0.75,0.25,hollow,-0.8617310566578169
Os,W,0.5,0.5,top,0.2141885576429842
W,Os,0.75,0.25,hollow,-0.8292376710587348
Cr,Nb,0.75,0.25,top,0.0740549648408261
Ru,W,0.5,0.5,bridge,-0.3938933530580186
Ru,W,0.5,0.5,bridge,-0.4862777699590594
W,Ir,0.75,0.25,hollow,-0.8566636166605974
W,Ir,0.75,0.25,bridge,-0.4001198618597925
Os,W,0.5,0.5,bridge,-0.4121943692580032
Ir,W,0.5,0.5,bridge,-0.2152001408603325
W,Rh,0.75,0.25,hollow,-0.8720130141582274
W,Rh,0.75,0.25,top,0.1605135587388133
Rh,W,0.5,0.5,bridge,-0.229402850559353
Rh,W,0.5,0.5,bridge,-0.577620943359733
W,Ni,0.75,0.25,hollow,-0.8429711204580315
Os,W,0.5,0.5,bridge,-0.3920559043571927
W,Ni,0.75,0.25,hollow,-0.7006700048577557
W,Ru,0.75,0.25,bridge,-0.6189176198558641
W,Ru,0.75,0.25,bridge,-0.4903514502575206
Co,W,0.5,0.5,bridge,-0.5482835340580721
